customer_id,tenure_months,contract_type,monthly_bill,data_used_gb,support_calls,is_senior,payment_method,churn
1971,50,two_year,51.85,19.1,2,1,debit,0
1727,40,one_year,80.43,20.3,0,0,bank_transfer,0
528,38,month-to-month,60.68,4.8,1,1,credit_card,1
995,47,one_year,81.95,10.0,2,0,debit,0
1125,59,two_year,59.18,15.2,0,0,debit,0
1660,30,month-to-month,78.43,11.2,0,0,bank_transfer,1
129,50,one_year,66.12,27.8,1,0,credit_card,0
367,25,month-to-month,51.54,6.2,0,0,debit,0
1306,44,one_year,22.16,4.2,0,0,debit,0
234,13,one_year,99.21,9.7,1,0,bank_transfer,1
1385,3,one_year,30.35,17.4,2,0,cheque,0
1780,34,two_year,76.95,3.6,2,0,credit_card,0
1729,48,two_year,22.29,3.6,1,0,bank_transfer,0
1224,42,month-to-month,98.96,14.8,1,1,bank_transfer,0
553,40,two_year,48.41,25.4,3,0,bank_transfer,0
1768,42,month-to-month,90.95,14.9,1,0,debit,0
1103,67,two_year,79.03,2.5,2,0,debit,0
1107,63,one_year,52.85,,1,0,cheque,1
793,46,one_year,88.73,13.6,3,1,cheque,0
1059,50,month-to-month,42.46,11.6,1,1,debit,0
890,4,one_year,92.69,10.2,0,0,credit_card,0
1423,13,month-to-month,67.91,8.1,3,1,credit_card,1
66,72,month-to-month,29.61,16.7,3,0,debit,0
125,22,month-to-month,,20.5,0,0,cheque,0
1713,49,one_year,28.26,17.0,0,0,bank_transfer,0
496,50,month-to-month,63.39,7.8,3,0,credit_card,0
1197,55,month-to-month,98.29,14.2,0,0,debit,0
495,23,month-to-month,48.76,14.6,1,0,credit_card,0
412,52,month-to-month,100.5,18.0,2,0,debit,1
713,18,two_year,98.54,10.8,0,0,debit,0
753,57,two_year,80.58,12.1,4,1,credit_card,1
1134,65,two_year,72.3,15.0,1,1,cheque,0
454,21,two_year,69.39,4.1,0,0,debit,0
1619,51,one_year,52.7,20.2,0,0,debit,0
30,33,one_year,26.72,10.4,1,0,cheque,0
1592,12,two_year,69.2,,1,0,cheque,0
384,39,one_year,61.51,20.0,0,1,credit_card,0
351,3,month-to-month,77.99,4.9,1,0,debit,1
1700,53,two_year,79.94,5.7,1,0,credit_card,0
1524,2,two_year,83.75,7.2,1,0,bank_transfer,0
57,14,one_year,84.29,10.8,5,0,cheque,0
1117,66,month-to-month,74.06,11.4,1,0,debit,0
1456,42,month-to-month,97.05,12.0,1,0,cheque,1
1960,56,two_year,90.02,10.1,1,0,debit,0
612,4,month-to-month,,4.2,2,0,cheque,1
1625,46,one_year,26.13,10.8,0,0,debit,0
