order_id,customer_id,product_id,order_date,quantity,amount,status
10001,138,27,2024-01-01,3,183.78,completed
10002,344,28,2024-01-01,2,66.22,completed
10003,273,15,2024-01-01,4,486.36,completed
10004,324,2,2024-01-01,2,823.34,completed
10005,376,6,2024-01-01,1,209.08,completed
10006,386,19,2024-01-01,3,72.14,completed
10007,89,11,2024-01-01,1,27.58,completed
10008,150,11,2024-01-01,4,113.08,returned
10009,495,30,2024-01-01,2,93.63,cancelled
10010,1,27,2024-01-01,2,124.88,completed
10011,288,12,2024-01-02,3,285.86,completed
10012,366,5,2024-01-02,2,295.1,completed
10013,68,18,2024-01-02,4,23.44,completed
10014,412,24,2024-01-02,1,34.74,completed
10015,82,13,2024-01-02,4,205.52,completed
10016,157,17,2024-01-02,4,57.31,cancelled
10017,208,1,2024-01-03,1,719.33,completed
10018,352,2,2024-01-03,4,1598.0,cancelled
10019,214,15,2024-01-03,1,120.55,completed
10020,141,5,2024-01-03,4,586.09,cancelled
10021,384,17,2024-01-03,1,14.22,completed
10022,1,18,2024-01-03,3,16.89,completed
10023,124,4,2024-01-03,1,596.55,returned
10024,189,16,2024-01-03,2,45.73,cancelled
10025,335,19,2024-01-03,2,50.43,returned
10026,186,19,2024-01-03,4,104.0,completed
10027,466,2,2024-01-04,2,779.11,cancelled
10028,390,24,2024-01-04,1,37.27,cancelled
10029,129,25,2024-01-04,3,175.19,cancelled
10030,247,20,2024-01-04,2,34.1,returned
10031,221,8,2024-01-04,4,169.92,completed
10032,125,24,2024-01-04,2,71.36,returned
10033,279,2,2024-01-04,4,1662.84,cancelled
10034,388,8,2024-01-04,4,165.8,cancelled
10035,465,18,2024-01-04,3,17.49,completed
10036,162,21,2024-01-05,3,241.28,completed
10037,422,14,2024-01-05,1,133.24,cancelled
10038,279,1,2024-01-05,2,1529.08,completed
10039,10,8,2024-01-05,4,173.94,completed
10040,467,6,2024-01-05,2,402.53,completed
10041,273,8,2024-01-05,1,41.57,cancelled
10042,390,16,2024-01-05,3,64.55,returned
10043,9,29,2024-01-05,4,169.2,completed
10044,187,2,2024-01-05,2,803.13,completed
10045,495,29,2024-01-05,4,175.44,completed
10046,34,29,2024-01-06,3,127.77,cancelled
10047,422,16,2024-01-06,4,89.91,completed
10048,368,8,2024-01-06,2,82.97,completed
10049,148,22,2024-01-06,3,61.85,completed
10050,10,14,2024-01-06,4,519.8,cancelled
10051,288,8,2024-01-06,4,169.7,completed
10052,36,22,2024-01-06,4,86.69,completed
10053,28,8,2024-01-06,1,40.42,completed
10054,345,17,2024-01-06,1,14.08,completed
10055,10,19,2024-01-07,3,72.01,returned
10056,390,24,2024-01-07,4,142.8,returned
10057,371,21,2024-01-07,1,81.32,completed
10058,243,12,2024-01-07,4,365.84,completed
10059,45,12,2024-01-07,4,356.0,completed
10060,310,2,2024-01-07,2,825.22,returned
10061,247,19,2024-01-07,2,50.68,returned
10062,273,7,2024-01-07,4,466.87,cancelled
10063,61,29,2024-01-07,2,88.85,completed
10064,67,30,2024-01-08,2,95.83,cancelled
10065,384,25,2024-01-08,3,163.91,completed
10066,8,8,2024-01-08,1,43.31,completed
10067,10,28,2024-01-08,2,63.4,completed
10068,373,25,2024-01-08,2,110.44,returned
10069,422,1,2024-01-08,2,1467.59,completed
10070,240,5,2024-01-08,4,541.67,completed
10071,441,5,2024-01-08,2,276.83,cancelled
10072,10,16,2024-01-08,1,21.01,returned
10073,339,3,2024-01-09,1,824.25,completed
10074,494,17,2024-01-09,4,56.6,completed
10075,139,27,2024-01-09,2,127.08,returned
10076,352,19,2024-01-09,3,79.17,completed
10077,270,8,2024-01-09,1,43.58,returned
10078,83,24,2024-01-09,3,106.18,completed
10079,277,7,2024-01-09,2,247.21,completed
10080,212,28,2024-01-09,1,30.55,completed
10081,82,15,2024-01-09,4,509.92,returned
10082,422,9,2024-01-10,4,184.12,completed
10083,244,30,2024-01-10,4,191.55,completed
10084,88,5,2024-01-10,2,291.82,completed
10085,225,13,2024-01-11,1,54.72,returned
10086,240,26,2024-01-11,2,66.97,completed
10087,277,14,2024-01-11,2,261.11,completed
10088,45,23,2024-01-11,2,22.72,cancelled
10089,344,4,2024-01-11,3,1676.64,completed
10090,83,26,2024-01-11,3,100.81,completed
10091,225,4,2024-01-11,4,2379.0,cancelled
10092,255,15,2024-01-11,4,525.07,completed
10093,104,3,2024-01-11,1,793.77,completed
10094,277,16,2024-01-12,3,62.88,completed
10095,258,8,2024-01-12,2,82.66,completed
10096,208,16,2024-01-12,1,23.27,returned
10097,19,12,2024-01-13,1,93.11,completed
10098,258,10,2024-01-13,2,342.88,cancelled
10099,142,3,2024-01-13,4,3280.11,completed
10100,296,17,2024-01-13,3,41.33,completed
10101,321,25,2024-01-13,4,219.49,completed
10102,104,18,2024-01-13,1,6.12,completed
10103,19,5,2024-01-13,3,425.54,cancelled
10104,10,3,2024-01-13,4,3211.99,completed
10105,259,28,2024-01-13,3,96.19,cancelled
10106,452,22,2024-01-13,2,41.9,returned
10107,437,17,2024-01-13,1,13.31,completed
10108,372,28,2024-01-14,4,128.68,returned
10109,181,10,2024-01-14,4,692.48,completed
10110,279,22,2024-01-14,1,20.8,completed
10111,370,23,2024-01-14,3,32.34,returned
10112,216,2,2024-01-14,4,1604.0,completed
10113,82,4,2024-01-14,2,1112.18,cancelled
10114,45,12,2024-01-14,2,191.63,returned
10115,10,25,2024-01-14,1,55.81,cancelled
10116,345,25,2024-01-14,1,55.97,returned
10117,264,24,2024-01-15,3,105.05,returned
10118,56,4,2024-01-15,3,1733.37,returned
10119,202,9,2024-01-15,4,183.07,cancelled
10120,6,18,2024-01-15,2,12.0,completed
10121,376,30,2024-01-15,4,190.26,returned
10122,10,4,2024-01-15,3,1701.8,cancelled
10123,328,24,2024-01-15,3,108.43,completed
10124,249,9,2024-01-15,3,128.11,completed
10125,345,1,2024-01-15,3,2121.72,completed
10126,335,13,2024-01-15,4,207.46,returned
10127,467,18,2024-01-15,2,12.1,completed
10128,65,24,2024-01-16,2,73.75,completed
10129,321,2,2024-01-16,3,1194.95,completed
10130,97,18,2024-01-16,1,5.94,completed
10131,390,9,2024-01-16,2,93.05,completed
10132,174,13,2024-01-16,2,107.05,completed
10133,306,24,2024-01-16,3,107.41,returned
10134,353,10,2024-01-17,3,494.85,completed
10135,467,16,2024-01-17,2,44.72,returned
10136,280,20,2024-01-17,2,35.75,completed
10137,126,10,2024-01-17,4,689.52,cancelled
10138,393,19,2024-01-17,3,77.27,returned
10139,360,14,2024-01-17,3,419.82,completed
10140,390,23,2024-01-18,1,11.3,completed
10141,345,11,2024-01-18,2,54.21,cancelled
10142,445,7,2024-01-18,2,230.15,completed
10143,306,8,2024-01-18,1,43.66,completed
10144,92,3,2024-01-18,2,1714.33,completed
10145,10,11,2024-01-19,2,51.87,returned
10146,104,18,2024-01-19,1,5.93,returned
10147,355,1,2024-01-19,1,707.9,returned
10148,38,19,2024-01-19,2,51.1,completed
10149,221,24,2024-01-19,2,72.76,cancelled
10150,498,3,2024-01-19,2,1641.65,completed
10151,422,5,2024-01-19,1,147.94,completed
10152,296,26,2024-01-19,4,132.52,completed
10153,225,14,2024-01-19,3,413.4,returned
10154,189,29,2024-01-19,1,41.27,completed
10155,416,4,2024-01-19,1,572.4,returned
10156,203,7,2024-01-20,4,463.83,returned
10157,247,7,2024-01-20,4,509.54,completed
10158,133,15,2024-01-20,1,127.52,cancelled
10159,467,23,2024-01-20,3,32.2,completed
10160,244,1,2024-01-20,2,1460.29,completed
10161,103,13,2024-01-20,1,54.05,completed
10162,277,26,2024-01-20,4,126.13,completed
10163,205,1,2024-01-20,2,1390.98,cancelled
10164,408,3,2024-01-20,2,1635.3,completed
10165,186,6,2024-01-20,3,600.72,returned
10166,207,8,2024-01-21,1,40.39,completed
10167,409,12,2024-01-21,4,378.19,completed
10168,174,12,2024-01-21,2,186.6,completed
10169,322,8,2024-01-21,1,43.19,completed
10170,167,7,2024-01-21,4,470.31,completed
10171,418,21,2024-01-21,2,155.15,completed
10172,225,22,2024-01-22,2,41.72,completed
10173,20,2,2024-01-22,1,417.72,cancelled
10174,10,24,2024-01-22,4,139.28,cancelled
10175,372,18,2024-01-22,3,17.14,completed
10176,404,1,2024-01-22,4,2884.33,completed
10177,10,18,2024-01-22,1,5.55,completed
10178,145,29,2024-01-22,1,40.56,cancelled
10179,324,13,2024-01-23,3,150.73,completed
10180,74,21,2024-01-23,1,80.78,completed
10181,424,13,2024-01-23,2,98.71,cancelled
10182,445,6,2024-01-23,3,662.33,completed
10183,191,23,2024-01-23,3,33.92,cancelled
10184,411,4,2024-01-23,2,1115.82,returned
10185,258,23,2024-01-23,1,11.43,completed
10186,174,11,2024-01-24,4,108.83,cancelled
10187,345,19,2024-01-24,2,49.63,completed
10188,82,4,2024-01-24,2,1102.08,completed
10189,308,30,2024-01-24,1,44.57,completed
10190,494,17,2024-01-24,3,41.11,cancelled
10191,50,22,2024-01-24,3,63.36,completed
10192,390,8,2024-01-24,2,83.16,completed
10193,376,1,2024-01-24,2,1502.24,completed
10194,498,11,2024-01-24,4,103.14,completed
10195,101,16,2024-01-24,3,66.43,cancelled
10196,3,14,2024-01-24,3,394.23,returned
10197,132,13,2024-01-24,4,214.96,completed
10198,395,17,2024-01-24,4,57.65,completed
10199,306,20,2024-01-25,3,50.44,returned
10200,188,10,2024-01-25,2,322.8,completed
10201,390,20,2024-01-25,1,17.39,completed
10202,163,14,2024-01-25,2,254.95,completed
10203,133,24,2024-01-25,4,136.78,completed
10204,59,23,2024-01-25,3,31.15,completed
10205,220,25,2024-01-25,2,111.3,cancelled
10206,112,4,2024-01-25,3,1655.01,cancelled
10207,404,30,2024-01-25,1,49.5,completed
10208,345,11,2024-01-26,1,26.35,cancelled
10209,348,11,2024-01-26,1,27.63,cancelled
10210,347,12,2024-01-26,2,191.61,completed
10211,128,15,2024-01-26,1,132.86,returned
10212,463,23,2024-01-26,4,41.5,completed
10213,228,10,2024-01-26,2,322.02,completed
10214,244,12,2024-01-26,3,280.31,completed
10215,196,11,2024-01-26,4,110.14,cancelled
10216,99,30,2024-01-26,1,47.16,completed
10217,9,30,2024-01-26,1,49.31,cancelled
10218,236,20,2024-01-27,4,70.94,completed
10219,255,15,2024-01-27,3,361.63,completed
10220,376,10,2024-01-27,2,325.27,completed
10221,174,8,2024-01-27,2,81.62,completed
10222,430,15,2024-01-27,2,252.53,completed
10223,499,26,2024-01-28,1,33.47,cancelled
10224,181,7,2024-01-28,4,500.31,cancelled
10225,471,10,2024-01-28,3,495.04,completed
10226,334,7,2024-01-28,2,249.62,completed
10227,93,25,2024-01-28,2,116.78,completed
10228,10,13,2024-01-28,2,107.61,completed
10229,104,1,2024-01-28,2,1422.38,completed
10230,100,30,2024-01-28,3,147.45,cancelled
10231,443,29,2024-01-28,3,122.37,completed
10232,126,23,2024-01-29,2,21.98,completed
10233,270,14,2024-01-29,3,411.6,completed
10234,189,24,2024-01-29,2,69.75,returned
10235,66,12,2024-01-29,4,384.71,cancelled
10236,86,1,2024-01-29,1,714.51,cancelled
10237,498,20,2024-01-29,2,32.9,completed
10238,307,13,2024-01-29,4,210.85,completed
10239,210,29,2024-01-29,4,173.51,completed
10240,359,13,2024-01-30,4,214.11,cancelled
10241,425,29,2024-01-30,3,127.46,completed
10242,355,7,2024-01-30,1,121.25,cancelled
10243,260,13,2024-01-30,3,151.05,cancelled
10244,10,16,2024-01-30,3,68.51,returned
10245,142,1,2024-01-30,1,718.96,completed
10246,347,2,2024-01-30,1,392.67,completed
10247,422,4,2024-01-30,1,581.57,completed
10248,258,19,2024-01-31,3,76.89,completed
10249,133,5,2024-01-31,1,141.03,completed
10250,123,1,2024-01-31,1,717.32,cancelled
10251,426,15,2024-01-31,4,501.98,completed
10252,377,22,2024-01-31,2,41.53,completed
10253,376,3,2024-01-31,2,1666.4,cancelled
10254,260,29,2024-01-31,2,88.22,returned
10255,422,28,2024-01-31,1,30.16,completed
10256,174,25,2024-01-31,4,224.69,returned
10257,345,21,2024-01-31,1,74.2,completed
10258,183,12,2024-01-31,1,93.71,completed
10259,255,7,2024-01-31,2,253.27,completed
10260,116,14,2024-01-31,3,402.78,completed
10261,371,23,2024-01-31,1,10.98,completed
10262,494,22,2024-01-31,3,61.03,completed
10263,455,10,2024-01-31,3,482.06,completed
10264,277,8,2024-02-01,1,41.86,completed
10265,281,12,2024-02-01,1,90.47,completed
10266,326,28,2024-02-01,2,62.82,returned
10267,294,18,2024-02-01,3,17.36,returned
10268,482,3,2024-02-01,1,817.95,cancelled
10269,220,14,2024-02-01,4,533.69,completed
10270,434,2,2024-02-01,1,417.44,cancelled
10271,66,24,2024-02-01,2,67.88,returned
10272,279,23,2024-02-01,2,21.11,completed
10273,97,9,2024-02-01,3,129.63,completed
10274,196,9,2024-02-02,4,174.44,returned
10275,396,17,2024-02-02,4,58.11,returned
10276,101,22,2024-02-02,3,65.1,returned
10277,197,9,2024-02-02,1,44.59,completed
10278,43,3,2024-02-02,1,858.01,completed
10279,390,23,2024-02-02,3,32.13,completed
10280,141,30,2024-02-02,4,192.72,completed
10281,242,14,2024-02-02,1,137.23,completed
10282,174,21,2024-02-02,3,228.96,cancelled
10283,97,4,2024-02-02,2,1203.47,returned
10284,115,7,2024-02-02,3,344.95,returned
10285,92,7,2024-02-02,2,246.81,completed
10286,345,4,2024-02-02,3,1683.52,cancelled
10287,116,2,2024-02-02,3,1185.35,completed
10288,10,11,2024-02-02,4,103.6,returned
10289,443,12,2024-02-03,2,185.07,completed
10290,477,9,2024-02-03,4,175.36,completed
10291,364,16,2024-02-03,4,91.09,completed
10292,376,30,2024-02-03,3,133.73,completed
10293,413,21,2024-02-03,1,74.64,completed
10294,204,24,2024-02-03,1,34.03,completed
10295,225,28,2024-02-03,3,98.23,cancelled
10296,262,20,2024-02-03,1,16.69,returned
10297,23,24,2024-02-03,4,148.05,cancelled
10298,108,4,2024-02-03,3,1639.26,completed
10299,286,9,2024-02-03,1,42.13,completed
10300,448,4,2024-02-03,1,575.31,returned
10301,405,22,2024-02-03,1,20.21,completed
10302,174,24,2024-02-04,1,34.61,completed
10303,62,14,2024-02-04,4,550.56,completed
10304,141,21,2024-02-04,3,238.78,completed
10305,334,20,2024-02-04,1,17.36,returned
10306,116,20,2024-02-04,2,34.99,cancelled
10307,177,26,2024-02-04,1,33.96,completed
10308,213,13,2024-02-04,1,50.0,completed
10309,376,29,2024-02-04,1,42.75,completed
10310,220,11,2024-02-04,3,82.98,completed
10311,10,18,2024-02-05,2,11.33,completed
10312,410,22,2024-02-05,1,21.33,completed
10313,305,21,2024-02-05,3,224.21,cancelled
10314,367,2,2024-02-05,3,1278.34,completed
10315,482,29,2024-02-05,3,130.08,completed
10316,243,18,2024-02-05,1,5.83,cancelled
10317,51,16,2024-02-05,4,91.09,completed
10318,208,20,2024-02-05,2,32.65,completed
10319,142,25,2024-02-06,3,178.75,completed
10320,167,24,2024-02-06,1,34.7,completed
10321,390,17,2024-02-06,4,54.69,returned
10322,376,7,2024-02-06,1,115.66,cancelled
10323,98,19,2024-02-06,3,74.54,completed
10324,475,15,2024-02-06,2,240.08,returned
10325,228,5,2024-02-06,4,590.63,completed
10326,109,6,2024-02-06,4,827.1,cancelled
10327,133,8,2024-02-07,3,120.75,completed
10328,244,15,2024-02-07,2,250.39,returned
10329,10,29,2024-02-08,2,85.75,returned
10330,16,9,2024-02-08,3,139.53,returned
10331,150,10,2024-02-08,4,674.5,completed
10332,222,27,2024-02-08,1,63.29,returned
10333,197,22,2024-02-08,1,21.18,cancelled
10334,387,23,2024-02-08,3,31.82,completed
10335,334,22,2024-02-08,2,40.15,completed
10336,174,18,2024-02-08,1,5.66,returned
10337,10,8,2024-02-09,3,123.08,completed
10338,125,8,2024-02-09,2,84.82,completed
10339,485,28,2024-02-09,1,32.36,completed
10340,320,15,2024-02-10,1,123.98,returned
10341,366,25,2024-02-10,2,115.89,completed
10342,222,17,2024-02-10,3,44.0,completed
10343,340,29,2024-02-10,3,122.15,cancelled
10344,282,21,2024-02-10,3,228.61,cancelled
10345,112,13,2024-02-10,4,213.85,cancelled
10346,376,21,2024-02-11,4,316.87,returned
10347,494,2,2024-02-11,2,784.35,cancelled
10348,390,30,2024-02-11,4,192.83,completed
10349,421,19,2024-02-11,2,49.19,returned
10350,84,4,2024-02-11,2,1127.53,completed
10351,471,8,2024-02-11,3,127.4,returned
10352,56,13,2024-02-11,4,213.63,completed
10353,260,16,2024-02-11,1,23.1,completed
10354,51,28,2024-02-11,1,31.17,completed
10355,92,18,2024-02-11,3,17.85,cancelled
10356,10,9,2024-02-12,1,43.73,completed
10357,1,26,2024-02-12,1,32.96,completed
10358,139,16,2024-02-12,1,21.34,returned
10359,164,27,2024-02-12,1,65.42,completed
10360,353,12,2024-02-12,3,281.17,returned
10361,410,9,2024-02-13,3,138.49,cancelled
10362,443,28,2024-02-13,2,60.36,completed
10363,265,19,2024-02-13,4,103.76,completed
10364,282,22,2024-02-13,4,87.28,completed
10365,335,7,2024-02-13,2,249.16,completed
10366,65,7,2024-02-13,1,121.37,completed
10367,82,18,2024-02-13,3,16.85,completed
10368,384,10,2024-02-13,1,167.08,completed
10369,281,27,2024-02-14,1,62.93,returned
10370,173,4,2024-02-14,3,1678.86,completed
10371,481,25,2024-02-14,1,55.64,cancelled
10372,287,20,2024-02-14,4,68.66,returned
10373,390,29,2024-02-14,3,127.96,returned
10374,207,2,2024-02-14,2,838.46,completed
10375,279,18,2024-02-14,1,5.95,completed
10376,139,14,2024-02-14,4,529.79,returned
10377,460,4,2024-02-15,4,2358.65,completed
10378,23,4,2024-02-15,4,2252.63,returned
10379,227,26,2024-02-15,3,98.49,completed
10380,258,8,2024-02-15,1,40.37,completed
10381,437,8,2024-02-15,3,122.1,cancelled
10382,10,6,2024-02-16,1,200.98,completed
10383,422,13,2024-02-16,4,204.12,completed
