ticket_id,customer_id,created_date,issue_type,resolved,satisfaction_score
1,26,2024-03-12,delivery,1,4.0
2,465,2025-04-13,billing,1,1.0
3,388,2025-05-19,refund,1,5.0
4,414,2024-08-12,refund,1,
5,347,2025-01-04,product_defect,1,4.0
6,270,2024-11-30,other,0,5.0
7,265,2024-10-17,refund,0,5.0
8,313,2024-07-13,delivery,1,5.0
9,249,2024-06-02,delivery,1,4.0
10,365,2024-05-31,billing,0,5.0
11,169,2024-07-16,billing,1,4.0
12,385,2025-02-21,refund,1,3.0
13,172,2025-03-30,delivery,1,1.0
14,238,2024-03-03,refund,1,4.0
15,35,2024-02-01,product_defect,1,2.0
16,451,2024-09-20,refund,1,2.0
17,344,2025-02-26,delivery,1,4.0
18,125,2024-11-04,refund,1,
19,23,2025-03-31,product_defect,1,2.0
20,426,2025-01-27,other,0,3.0
21,1,2025-01-23,delivery,1,5.0
22,241,2024-10-23,other,1,4.0
23,16,2024-01-30,refund,1,5.0
24,347,2024-04-08,product_defect,1,4.0
25,102,2025-02-12,billing,1,4.0
26,214,2024-06-18,product_defect,1,3.0
27,286,2025-02-01,delivery,1,4.0
28,186,2024-07-05,delivery,1,4.0
29,341,2024-01-08,billing,1,1.0
30,255,2025-01-06,product_defect,1,3.0
31,211,2025-05-05,refund,1,4.0
32,162,2024-09-02,product_defect,1,5.0
33,205,2024-03-13,delivery,1,4.0
34,161,2024-08-15,delivery,1,5.0
35,289,2025-06-12,billing,1,5.0
36,383,2024-06-24,refund,1,1.0
37,299,2024-02-08,delivery,0,
38,17,2025-02-26,refund,1,5.0
39,423,2024-05-10,other,0,3.0
40,394,2024-01-21,delivery,1,4.0
41,410,2025-01-14,delivery,1,3.0
42,25,2024-07-05,refund,1,
43,412,2024-03-16,delivery,1,4.0
44,234,2024-01-30,delivery,1,4.0
45,423,2024-04-11,delivery,0,
46,391,2024-03-23,delivery,0,4.0
47,440,2024-01-07,product_defect,1,2.0
48,61,2024-07-22,delivery,0,4.0
49,278,2025-03-30,refund,0,5.0
50,365,2024-08-05,product_defect,0,3.0
51,298,2024-01-21,delivery,0,4.0
52,406,2025-04-29,delivery,1,4.0
53,364,2024-12-13,other,1,4.0
54,18,2025-06-14,product_defect,1,
55,100,2024-11-16,product_defect,1,4.0
56,318,2024-09-19,refund,1,4.0
57,181,2024-10-08,other,0,5.0
58,179,2024-01-04,delivery,0,2.0
59,457,2024-07-25,delivery,1,1.0
60,45,2024-08-31,billing,1,
61,262,2024-06-13,delivery,1,5.0
62,156,2025-04-05,product_defect,1,4.0
63,26,2025-06-10,delivery,1,1.0
64,188,2024-09-20,refund,1,3.0
65,203,2025-03-07,product_defect,1,1.0
66,228,2024-05-02,refund,0,4.0
67,81,2025-05-22,product_defect,0,4.0
68,365,2025-01-21,delivery,1,3.0
69,179,2025-02-07,delivery,1,4.0
70,287,2024-11-23,product_defect,1,
71,273,2025-03-31,delivery,1,
72,283,2024-10-20,product_defect,0,5.0
73,253,2025-06-14,refund,1,4.0
74,151,2024-12-30,refund,1,4.0
75,246,2024-09-06,refund,1,4.0
76,266,2024-04-24,billing,1,3.0
77,10,2025-05-13,refund,1,5.0
78,362,2024-01-31,delivery,1,5.0
79,223,2024-01-24,other,0,4.0
80,147,2024-01-18,delivery,1,3.0
81,15,2024-02-29,billing,1,3.0
82,153,2024-05-15,delivery,1,5.0
83,203,2024-09-26,refund,1,3.0
84,419,2024-06-01,refund,1,2.0
85,324,2024-09-06,delivery,0,4.0
86,210,2024-09-03,product_defect,1,5.0
87,63,2024-08-29,delivery,1,2.0
88,138,2024-02-02,refund,0,3.0
89,459,2024-10-22,billing,1,5.0
90,64,2024-06-13,product_defect,1,
91,316,2024-10-23,refund,1,4.0
92,259,2024-02-03,refund,1,5.0
93,109,2025-04-23,delivery,1,3.0
94,437,2025-02-01,other,1,5.0
95,198,2024-07-09,product_defect,1,4.0
96,331,2024-07-16,product_defect,1,5.0
97,49,2024-06-22,refund,1,5.0
98,483,2025-06-29,refund,1,3.0
99,12,2025-01-21,delivery,0,2.0
100,156,2024-09-10,delivery,1,5.0
101,458,2024-12-22,refund,1,1.0
102,319,2024-02-05,delivery,1,5.0
103,338,2025-04-01,delivery,1,4.0
104,158,2024-11-23,refund,1,2.0
105,390,2024-06-19,refund,1,5.0
106,466,2025-01-16,refund,1,4.0
107,312,2024-01-04,billing,1,5.0
108,110,2024-09-26,product_defect,1,3.0
109,454,2025-06-03,delivery,1,1.0
110,3,2025-02-21,billing,1,2.0
111,448,2024-01-25,refund,0,3.0
112,5,2024-11-20,refund,1,5.0
113,30,2025-01-09,billing,1,4.0
114,22,2024-10-16,delivery,1,2.0
115,95,2024-06-26,product_defect,1,
116,364,2025-01-08,delivery,1,2.0
117,198,2024-08-20,delivery,1,4.0
118,40,2025-06-05,refund,1,5.0
119,171,2025-04-05,delivery,1,5.0
120,499,2025-05-15,delivery,1,3.0
121,263,2024-08-18,refund,1,
122,365,2025-01-07,refund,1,4.0
123,134,2024-03-20,refund,1,1.0
124,261,2025-02-17,delivery,1,1.0
125,399,2025-02-18,refund,1,
126,338,2025-03-02,refund,1,3.0
127,4,2024-01-12,refund,0,5.0
128,304,2024-09-07,product_defect,1,1.0
129,396,2024-05-31,other,0,2.0
130,68,2025-05-18,delivery,1,5.0
131,197,2024-10-22,refund,1,
132,323,2024-12-02,billing,0,2.0
133,3,2024-08-28,product_defect,1,3.0
134,356,2024-03-03,other,1,5.0
135,424,2024-12-07,product_defect,1,4.0
136,264,2024-12-01,product_defect,0,4.0
137,224,2024-07-28,delivery,1,3.0
138,46,2024-12-12,delivery,1,
139,363,2024-08-02,product_defect,1,3.0
140,472,2024-12-29,refund,1,3.0
141,440,2024-07-10,billing,1,3.0
142,275,2025-03-01,other,0,2.0
143,18,2025-05-02,delivery,1,4.0
144,143,2024-09-23,refund,0,3.0
145,132,2024-01-10,billing,1,4.0
146,4,2025-01-10,billing,1,4.0
147,60,2025-05-31,billing,1,2.0
148,288,2025-01-25,product_defect,0,5.0
149,50,2024-07-16,other,1,4.0
150,20,2024-11-06,refund,1,3.0
151,473,2024-07-19,delivery,1,1.0
152,303,2025-03-01,delivery,1,4.0
153,403,2025-02-03,refund,0,5.0
154,125,2024-12-09,billing,0,5.0
155,183,2024-08-01,refund,1,5.0
156,306,2024-04-04,product_defect,1,3.0
157,344,2024-12-05,refund,1,
158,185,2024-07-04,product_defect,1,3.0
159,460,2025-05-11,delivery,1,3.0
160,352,2024-02-04,refund,0,4.0
161,111,2025-04-10,delivery,1,1.0
162,50,2025-03-04,refund,1,4.0
163,8,2024-10-10,refund,0,3.0
164,423,2025-06-30,product_defect,1,5.0
165,413,2025-01-29,refund,1,5.0
166,240,2024-01-23,other,1,4.0
167,362,2024-08-03,other,1,4.0
168,442,2025-04-07,delivery,0,3.0
169,81,2025-03-02,delivery,0,5.0
170,491,2024-03-29,delivery,1,4.0
171,245,2024-04-03,delivery,1,4.0
172,220,2025-05-23,delivery,1,2.0
173,81,2024-01-26,billing,1,3.0
